"Source:","/home/travis/e-cribbage/KiCAD/e-cribbage.sch"
"Date:","Wed 29 Jul 2020 05:02:40 PM CDT"
"Tool:","Eeschema 5.1.4+dfsg1-1"
"Component Count:","577"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"R42","1k","e-cribbage:R_0603","~","",""
"R43","1k","e-cribbage:R_0603","~","",""
"R44","1k","e-cribbage:R_0603","~","",""
"R45","1k","e-cribbage:R_0603","~","",""
"R46","1k","e-cribbage:R_0603","~","",""
"R47","1k","e-cribbage:R_0603","~","",""
"R48","1k","e-cribbage:R_0603","~","",""
"R49","1k","e-cribbage:R_0603","~","",""
"R50","1k","e-cribbage:R_0603","~","",""
"R51","1k","e-cribbage:R_0603","~","",""
"R52","1k","e-cribbage:R_0603","~","",""
"R53","1k","e-cribbage:R_0603","~","",""
"R54","1k","e-cribbage:R_0603","~","",""
"R55","1k","e-cribbage:R_0603","~","",""
"R56","1k","e-cribbage:R_0603","~","",""
"R57","1k","e-cribbage:R_0603","~","",""
"R58","1k","e-cribbage:R_0603","~","",""
"R59","1k","e-cribbage:R_0603","~","",""
"R60","1k","e-cribbage:R_0603","~","",""
"R61","1k","e-cribbage:R_0603","~","",""
"R62","1k","e-cribbage:R_0603","~","",""
"R63","1k","e-cribbage:R_0603","~","",""
"R64","1k","e-cribbage:R_0603","~","",""
"R65","1k","e-cribbage:R_0603","~","",""
"R66","1k","e-cribbage:R_0603","~","",""
"R67","1k","e-cribbage:R_0603","~","",""
"R68","1k","e-cribbage:R_0603","~","",""
"R69","1k","e-cribbage:R_0603","~","",""
"R70","1k","e-cribbage:R_0603","~","",""
"R71","1k","e-cribbage:R_0603","~","",""
"R72","1k","e-cribbage:R_0603","~","",""
"R73","1k","e-cribbage:R_0603","~","",""
"R74","1k","e-cribbage:R_0603","~","",""
"R75","1k","e-cribbage:R_0603","~","",""
"R76","1k","e-cribbage:R_0603","~","",""
"R77","1k","e-cribbage:R_0603","~","",""
"R78","1k","e-cribbage:R_0603","~","",""
"R79","1k","e-cribbage:R_0603","~","",""
"R80","1k","e-cribbage:R_0603","~","",""
"R81","1k","e-cribbage:R_0603","~","",""
"R82","1k","e-cribbage:R_0603","~","",""
"R83","1k","e-cribbage:R_0603","~","",""
"R84","1k","e-cribbage:R_0603","~","",""
"R85","1k","e-cribbage:R_0603","~","",""
"R86","1k","e-cribbage:R_0603","~","",""
"R87","1k","e-cribbage:R_0603","~","",""
"R88","1k","e-cribbage:R_0603","~","",""
"R89","1k","e-cribbage:R_0603","~","",""
"R90","1k","e-cribbage:R_0603","~","",""
"R91","1k","e-cribbage:R_0603","~","",""
"R92","1k","e-cribbage:R_0603","~","",""
"R93","1k","e-cribbage:R_0603","~","",""
"R94","1k","e-cribbage:R_0603","~","",""
"R95","1k","e-cribbage:R_0603","~","",""
"R96","1k","e-cribbage:R_0603","~","",""
"R97","1k","e-cribbage:R_0603","~","",""
"R98","1k","e-cribbage:R_0603","~","",""
"R99","1k","e-cribbage:R_0603","~","",""
"R100","1k","e-cribbage:R_0603","~","",""
"R101","1k","e-cribbage:R_0603","~","",""
"R102","1k","e-cribbage:R_0603","~","",""
"R103","1k","e-cribbage:R_0603","~","",""
"R104","1k","e-cribbage:R_0603","~","",""
"R105","1k","e-cribbage:R_0603","~","",""
"R106","1k","e-cribbage:R_0603","~","",""
"R107","1k","e-cribbage:R_0603","~","",""
"R108","1k","e-cribbage:R_0603","~","",""
"R109","1k","e-cribbage:R_0603","~","",""
"R110","1k","e-cribbage:R_0603","~","",""
"R111","1k","e-cribbage:R_0603","~","",""
"R112","1k","e-cribbage:R_0603","~","",""
"R113","1k","e-cribbage:R_0603","~","",""
"R114","1k","e-cribbage:R_0603","~","",""
"R115","1k","e-cribbage:R_0603","~","",""
"R116","1k","e-cribbage:R_0603","~","",""
"R117","1k","e-cribbage:R_0603","~","",""
"R118","1k","e-cribbage:R_0603","~","",""
"R119","1k","e-cribbage:R_0603","~","",""
"R120","1k","e-cribbage:R_0603","~","",""
"R121","1k","e-cribbage:R_0603","~","",""
"R122","1k","e-cribbage:R_0603","~","",""
"R123","1k","e-cribbage:R_0603","~","",""
"R124","1k","e-cribbage:R_0603","~","",""
"R125","1k","e-cribbage:R_0603","~","",""
"R126","1k","e-cribbage:R_0603","~","",""
"R127","1k","e-cribbage:R_0603","~","",""
"R128","1k","e-cribbage:R_0603","~","",""
"R129","1k","e-cribbage:R_0603","~","",""
"R130","1k","e-cribbage:R_0603","~","",""
"R131","1k","e-cribbage:R_0603","~","",""
"R132","1k","e-cribbage:R_0603","~","",""
"R133","1k","e-cribbage:R_0603","~","",""
"R134","1k","e-cribbage:R_0603","~","",""
"R135","1k","e-cribbage:R_0603","~","",""
"R136","1k","e-cribbage:R_0603","~","",""
"R137","1k","e-cribbage:R_0603","~","",""
"R138","1k","e-cribbage:R_0603","~","",""
"R139","1k","e-cribbage:R_0603","~","",""
"R140","1k","e-cribbage:R_0603","~","",""
"R141","1k","e-cribbage:R_0603","~","",""
"R142","1k","e-cribbage:R_0603","~","",""
"R143","1k","e-cribbage:R_0603","~","",""
"R144","1k","e-cribbage:R_0603","~","",""
"R145","1k","e-cribbage:R_0603","~","",""
"R146","1k","e-cribbage:R_0603","~","",""
"R147","1k","e-cribbage:R_0603","~","",""
"R148","1k","e-cribbage:R_0603","~","",""
"R149","1k","e-cribbage:R_0603","~","",""
"R150","1k","e-cribbage:R_0603","~","",""
"R151","1k","e-cribbage:R_0603","~","",""
"R152","1k","e-cribbage:R_0603","~","",""
"R153","1k","e-cribbage:R_0603","~","",""
"R154","1k","e-cribbage:R_0603","~","",""
"R155","1k","e-cribbage:R_0603","~","",""
"R156","1k","e-cribbage:R_0603","~","",""
"R157","1k","e-cribbage:R_0603","~","",""
"R158","1k","e-cribbage:R_0603","~","",""
"R159","1k","e-cribbage:R_0603","~","",""
"R160","1k","e-cribbage:R_0603","~","",""
"R161","1k","e-cribbage:R_0603","~","",""
"R162","1k","e-cribbage:R_0603","~","",""
"R163","1k","e-cribbage:R_0603","~","",""
"R164","1k","e-cribbage:R_0603","~","",""
"R165","1k","e-cribbage:R_0603","~","",""
"R166","1k","e-cribbage:R_0603","~","",""
"R167","1k","e-cribbage:R_0603","~","",""
"R168","1k","e-cribbage:R_0603","~","",""
"R169","1k","e-cribbage:R_0603","~","",""
"R170","1k","e-cribbage:R_0603","~","",""
"R171","1k","e-cribbage:R_0603","~","",""
"R172","1k","e-cribbage:R_0603","~","",""
"R173","1k","e-cribbage:R_0603","~","",""
"R174","1k","e-cribbage:R_0603","~","",""
"R175","1k","e-cribbage:R_0603","~","",""
"R176","1k","e-cribbage:R_0603","~","",""
"R177","1k","e-cribbage:R_0603","~","",""
"R178","1k","e-cribbage:R_0603","~","",""
"R179","1k","e-cribbage:R_0603","~","",""
"R180","1k","e-cribbage:R_0603","~","",""
"R181","1k","e-cribbage:R_0603","~","",""
"R182","1k","e-cribbage:R_0603","~","",""
"R183","1k","e-cribbage:R_0603","~","",""
"R184","1k","e-cribbage:R_0603","~","",""
"R185","1k","e-cribbage:R_0603","~","",""
"R186","1k","e-cribbage:R_0603","~","",""
"R187","1k","e-cribbage:R_0603","~","",""
"R188","1k","e-cribbage:R_0603","~","",""
"R189","1k","e-cribbage:R_0603","~","",""
"R190","1k","e-cribbage:R_0603","~","",""
"R191","1k","e-cribbage:R_0603","~","",""
"R192","1k","e-cribbage:R_0603","~","",""
"R193","1k","e-cribbage:R_0603","~","",""
"R194","1k","e-cribbage:R_0603","~","",""
"R195","1k","e-cribbage:R_0603","~","",""
"R196","1k","e-cribbage:R_0603","~","",""
"R197","1k","e-cribbage:R_0603","~","",""
"R198","1k","e-cribbage:R_0603","~","",""
"R199","1k","e-cribbage:R_0603","~","",""
